element;sp_num;obs_wl_air(A);unc_obs_wl;ritz_wl_air(A);unc_ritz_wl;intens;Aki(s^-1);Acc;Ei(cm-1);Ek(cm-1);conf_i;term_i;J_i;conf_k;term_k;J_k;Type;tp_ref;line_ref;
Ne;2;;;4365.6320;0.0006;;1.2e+06;D;280700.7426;303600.498;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;T1115CA,LS;;
Ne;1;4365.705;0.020;4365.706;0.019;10;;;150121.5922;173020.96;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).11d;2[5/2]*;2;;;L3469;
Ne;2;4365.745;0.003;4365.7441;0.0006;160;;;280700.7426;303599.9098;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L1406;
Ne;2;4369.862;0.003;4369.8611;0.0006;240;3.5e+06;D;280947.0768;303824.6705;2s2.2p4.(3P).3d;4F;3/2;2s2.2p4.(3P<0>).4f;2[3]*;5/2;;T1115CA,LS;L1406;
Ne;1;4371.796;0.020;4371.810;0.013;20;;;150121.5922;172988.99;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8d;2[3/2]*;1;;;L3469;
Ne;1;4372.157;0.020;4372.1510;0.0010;300;;;150121.5922;172987.204;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).8d;2[5/2]*;2;;;L3469;
Ne;1;4374.997;0.020;4375.025;0.021;20*;;;150315.8612;173166.45;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).12d;2[5/2]*;3;;;L3469;
Ne;1;4374.997;0.020;4375.0048;0.0008;20*;;;150121.5922;172972.289;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).12s;2[3/2]*;1;;;L3469;
Ne;8;4376.54;0.07;4376.54;0.07;100bl;;;9118780.5;9141623.2;1s.2s.(3S).8h;4H*;;1s.2s.(3S).9i;4I;;;;L9090;
Ne;1;4377.754;0.020;4377.744;0.015;20*;;;150772.1118;173608.51;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).10d;2[3/2]*;2;;;L3469;
Ne;1;4377.754;0.020;4377.744;0.010;20;;;150772.1118;173608.51;2s2.2p5.(2P*<1/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).10d;2[5/2]*;2;;;L3469;
Ne;2;4377.9830;0.0012;4377.9839;0.0006;180;;;280989.5229;303824.6705;2s2.2p4.(3P).3d;4P;3/2;2s2.2p4.(3P<0>).4f;2[3]*;5/2;;;L9088;
Ne;2;4379.400;0.010;4379.3989;0.0006;140bl;2.0e+07;D;280700.7426;303528.5122;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;T1115CA,LS;L1406;
Ne;2;4379.5496;0.0002;4379.54965;0.00025;300;2.2e+08;D;280700.7426;303527.7267;2s2.2p4.(3P).3d;4F;7/2;2s2.2p4.(3P<1>).4f;2[4]*;9/2;;T1115CA,LS;L5951;
Ne;8;4380.09;0.07;4380.08;0.07;100bl*;;;9118707.6;9141531.8;1s.2s.(3S).8i;4I;9/2;1s.2s.(3S).9k;4K*;;;;L9090;
Ne;8;4380.09;0.07;4380.08;0.07;100bl*;;;9118707.6;9141531.8;1s.2s.(3S).8i;4I;13/2;1s.2s.(3S).9k;4K*;;;;L9090;
Ne;8;4380.09;0.07;4380.08;0.07;100bl*;;;9118707.6;9141531.8;1s.2s.(3S).8i;4I;11/2;1s.2s.(3S).9k;4K*;;;;L9090;
Ne;1;4381.2200;0.0010;4381.2199;0.0010;300;;;149657.0392;172475.321;2s2.2p5.(2P*<3/2>).3p;2[5/2];3;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;2;;;L7292;
Ne;2;4384.1079;0.0010;4384.1063;0.0006;180;;;280797.2387;303600.498;2s2.2p4.(3P).3d;4F;5/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;;L5951;
Ne;2;4384.223;0.003;4384.2194;0.0006;80;;;280797.2387;303599.9098;2s2.2p4.(3P).3d;4F;5/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L1406;
Ne;2;;;4384.9757;0.0004;;1.8e+07;D;281025.9326;303824.6705;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<0>).4f;2[3]*;5/2;;T1115CA,LS;;
Ne;2;4385.0642;0.0006;4385.0639;0.0004;200;2.0e+08;D;281025.9326;303824.2119;2s2.2p4.(3P).3d;2F;5/2;2s2.2p4.(3P<0>).4f;2[3]*;7/2;;T1115CA,LS;L5951;
Ne;8;4385.87;0.07;4385.87;0.07;100bl;;;9118737.7;9141531.8;1s.2s.(3S).8i;4I;15/2;1s.2s.(3S).9k;4K*;;;;L9090;
Ne;2;4391.9902;0.0003;4391.9902;0.0004;400;;;280172.9854;302935.312;2s2.2p4.(3P).3d;4F;9/2;2s2.2p4.(3P<2>).4f;2[5]*;11/2;;;L9088;
Ne;2;;;4391.9941;0.0006;;2.4e+07;D;280172.9854;302935.2919;2s2.2p4.(3P).3d;4F;9/2;2s2.2p4.(3P<2>).4f;2[5]*;9/2;;T1115CA,LS;;
Ne;1;4394.370;0.020;4394.370;0.015;150*;;;150858.5079;173608.51;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).10d;2[3/2]*;2;;;L3469;
Ne;1;4394.370;0.020;4394.370;0.010;150*;;;150858.5079;173608.51;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).10d;2[5/2]*;2;;;L3469;
Ne;1;4394.370;0.020;4394.364;0.014;150*;;;150858.5079;173608.54;2s2.2p5.(2P*<1/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).10d;2[5/2]*;3;;;L3469;
Ne;1;4394.773;0.020;4394.776;0.012;150;;;149824.2215;172572.12;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9d;2[5/2]*;2;;;L3469;
Ne;1;4395.008;0.020;4395.025;0.010;10;;;149824.2215;172570.83;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4395.306;0.020;4395.301;0.008;10;;;149824.2215;172569.40;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;2;;;L3469;
Ne;1;4395.5560;0.0010;4395.5560;0.0010;500;;;149824.2215;172568.083;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9d;2[7/2]*;3;;;L7292;
Ne;1;4395.969;0.020;4395.972;0.010;10;;;149824.2215;172565.93;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).9d;2[1/2]*;1;;;L3469;
Ne;2;4396.313;0.003;4396.3121;0.0008;120;;;280768.508;303508.458;2s2.2p4.(3P).3d;4P;1/2;2s2.2p4.(3P<1>).4f;2[2]*;3/2;;;L1406;
Ne;1;4397.175;0.020;4397.190;0.010;10;;;150121.5922;172857.00;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;1;;;L3469;
Ne;2;4397.9902;0.0003;4397.9902;0.0003;300;;;280797.2387;303528.5122;2s2.2p4.(3P).3d;4F;5/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;;L5951;
Ne;1;4398.136;0.020;4398.133;0.012;50;;;150121.5922;172852.13;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;0;;;L3469;
Ne;1;4402.374;0.020;4402.380;0.016;20;;;150121.5922;172830.20;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).10d;2[5/2]*;2;;;L3469;
Ne;1;4402.580;0.020;4402.554;0.014;10;;;150121.5922;172829.30;2s2.2p5.(2P*<3/2>).3p;2[3/2];1;2s2.2p5.(2P*<3/2>).10d;2[3/2]*;1;;;L3469;
Ne;1;4402.985;0.020;4402.996;0.017;10;;;150315.8612;173021.29;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<3/2>).11d;2[5/2]*;3;;;L3469;
Ne;1;4405.582;0.020;4405.571;0.021;20;;;150917.4307;173609.59;2s2.2p5.(2P*<3/2>).3p;2[1/2];0;2s2.2p5.(2P*<1/2>).10d;2[3/2]*;1;;;L3469;
Ne;2;4409.29872;0.00023;4409.29870;0.00023;300;;;280262.3163;302935.2919;2s2.2p4.(3P).3d;2F;7/2;2s2.2p4.(3P<2>).4f;2[5]*;9/2;;;L5951;
Ne;1;4409.620;0.020;4409.6009;0.0010;200;;;150315.8612;172987.283;2s2.2p5.(2P*<3/2>).3p;2[3/2];2;2s2.2p5.(2P*<1/2>).8d;2[5/2]*;3;;;L3469;
Ne;2;4409.778;0.010;4409.7756;0.0008;40w;;;280172.9854;302843.509;2s2.2p4.(3P).3d;4F;9/2;2s2.2p4.(3P<2>).4f;2[3]*;7/2;;;L1406;
Ne;2;4412.20;0.04;4412.1759;0.0006;80w;;;280172.9854;302831.176;2s2.2p4.(3P).3d;4F;9/2;2s2.2p4.(3P<2>).4f;2[4]*;7/2;;;L1406;
Ne;1;4412.285;0.020;4412.2878;0.0004;200;;;149824.2215;172481.8376;2s2.2p5.(2P*<3/2>).3p;2[5/2];2;2s2.2p5.(2P*<3/2>).10s;2[3/2]*;1;;;L3469;
Ne;2;4412.591;0.003;4412.5909;0.0006;180;;;280172.9854;302829.0453;2s2.2p4.(3P).3d;4F;9/2;2s2.2p4.(3P<2>).4f;2[4]*;9/2;;;L1406;
Ne;2;4413.113;0.007;4413.1049;0.0006;160*;2.0e+08;D;280947.0768;303600.498;2s2.2p4.(3P).3d;4F;3/2;2s2.2p4.(3P<1>).4f;2[3]*;5/2;;T1115CA,LS;L9088;
Ne;2;4413.113;0.007;4413.1258;0.0006;160*;;;281171.3566;303824.6705;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<0>).4f;2[3]*;5/2;;;L9088;
Ne;2;4413.2150;0.0003;4413.2151;0.0003;200;;;281171.3566;303824.2119;2s2.2p4.(3P).3d;4P;5/2;2s2.2p4.(3P<0>).4f;2[3]*;7/2;;;L5951;
